question,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
How can I structure a 48-hour dopamine fast without losing my mind?,0.7166843414306641,0.7409690022468567,0.9,0.7376894354820251,0.7707604765892029,0.3662908971309662,0.3203139305114746,0.32274505496025085,0.35320475697517395,0.3537313640117645,0.354539692401886,0.3644500970840454,0.35089054703712463,0.362354576587677,0.3541374206542969,0.3545999228954315,0.3660406470298767,0.4042198657989502,0.3717491328716278,0.3542526960372925,0.45,0.35947924852371216,0.3626902103424072,0.3487287759780884,0.35823699831962585,0.169598788022995,0.16242504119873047,0.17239516973495483,0.15864543616771698,0.17133833467960358,0.1703982800245285,0.18272614479064941,0.15240535140037537,0.17621803283691406,0.16279956698417664,0.14523537456989288,0.15689213573932648,0.1731109768152237,0.18266446888446808,0.16577951610088348,0.1510009467601776,0.16678087413311005,0.16995081305503845,0.17617350816726685,0.1665751338005066,0.16973353922367096,0.16305793821811676,0.17538537085056305,0.17352528870105743,0.17448841035366058,0.16272298991680145,0.225,0.1971239298582077,0.15469221770763397,0.18595097959041595,0.18009671568870544,0.161713108420372,0.1726803332567215,0.17241591215133667,0.16944314539432526,0.16164322197437286,0.1677844375371933,0.1537332981824875,0.1478954255580902,0.16358955204486847,0.15797670185565948,0.17522551119327545,0.15705673396587372,0.17794108390808105,0.1766727715730667,0.16522173583507538,0.17453065514564514,0.17157188057899475,0.1602805256843567,0.15937359631061554,0.17111250758171082,0.16350694000720978,0.16192977130413055,0.17250719666481018,0.17474280297756195,0.17468124628067017,0.17076566815376282,0.15481631457805634,0.14171376824378967,0.16390098631381989,0.19537729024887085,0.17992332577705383,0.18706630170345306,0.16389980912208557,0.1682795137166977,0.16093941032886505,0.17412565648555756,0.16971908509731293,0.1647237241268158,0.16135987639427185,0.16166622936725616,0.17074888944625854,0.16770082712173462,0.1693544238805771,0.14705003798007965,0.17110618948936462,0.18317008018493652,0.17480169236660004,0.17688822746276855,0.1819782555103302,0.17574070394039154,0.17195944488048553,0.17480266094207764,0.17102131247520447,0.1633744090795517,0.16809281706809998,0.15225926041603088,0.17252317070960999,0.15696606040000916,0.16388161480426788,0.1972431093454361,0.1788140833377838,0.15677261352539062,0.16677887737751007,0.17690038681030273,0.18668702244758606,0.15632344782352448,0.17909739911556244,0.16127164661884308,0.17273759841918945
What are the best apps to block social media on a schedule?,0.787449061870575,0.759156346321106,0.9,0.7911051511764526,0.8276693224906921,0.3671850860118866,0.3842063546180725,0.36858344078063965,0.3708783984184265,0.3570336699485779,0.39151960611343384,0.37861427664756775,0.3829890787601471,0.40860652923583984,0.375057578086853,0.3949689567089081,0.39082595705986023,0.37528958916664124,0.3889126479625702,0.38369274139404297,0.45,0.40972647070884705,0.3772743046283722,0.37998679280281067,0.40120378136634827,0.1608276665210724,0.1611412763595581,0.17760257422924042,0.16644953191280365,0.18603304028511047,0.17935574054718018,0.19776347279548645,0.1774486005306244,0.18726493418216705,0.1953972429037094,0.17673879861831665,0.17050103843212128,0.188706636428833,0.18502596020698547,0.17416778206825256,0.16384631395339966,0.19191916286945343,0.1704172044992447,0.19803673028945923,0.19118525087833405,0.16768907010555267,0.1969597190618515,0.17199040949344635,0.18913041055202484,0.1861780732870102,0.17409220337867737,0.225,0.16002877056598663,0.17889989912509918,0.1965751200914383,0.194922536611557,0.16425006091594696,0.17411567270755768,0.18743178248405457,0.17862969636917114,0.16262100636959076,0.18207859992980957,0.1709660291671753,0.17766880989074707,0.1798229217529297,0.17199410498142242,0.19003017246723175,0.1632383167743683,0.19196201860904694,0.1828921139240265,0.17318622767925262,0.19232159852981567,0.17783011496067047,0.18505971133708954,0.16936348378658295,0.19793292880058289,0.17851409316062927,0.15937358140945435,0.18218007683753967,0.18995128571987152,0.19138889014720917,0.17702999711036682,0.1707877814769745,0.1617484837770462,0.18302035331726074,0.19279924035072327,0.18591703474521637,0.18999725580215454,0.19155792891979218,0.17808955907821655,0.18245737254619598,0.18661251664161682,0.19601485133171082,0.1758395880460739,0.1765645295381546,0.1877850890159607,0.17855457961559296,0.19314076006412506,0.1971784234046936,0.15727455914020538,0.19119977951049805,0.18914951384067535,0.18601952493190765,0.20182426273822784,0.18811944127082825,0.1968441605567932,0.1780426949262619,0.16799283027648926,0.18006661534309387,0.15992343425750732,0.1765623688697815,0.17320361733436584,0.2019059956073761,0.19598038494586945,0.17420193552970886,0.17898410558700562,0.17390090227127075,0.19062496721744537,0.1817099004983902,0.17544567584991455,0.18554551899433136,0.17215396463871002,0.20365238189697266,0.17409087717533112,0.20010915398597717
Is it possible to do a digital detox while working a tech job?,0.797767698764801,0.7969576716423035,0.9,0.8176187872886658,0.8532167077064514,0.3927401006221771,0.3748399019241333,0.3685081899166107,0.39510849118232727,0.37661176919937134,0.40098950266838074,0.3910086750984192,0.39252620935440063,0.4152313470840454,0.3889194130897522,0.40352097153663635,0.40200433135032654,0.40269526839256287,0.4095325767993927,0.3946475386619568,0.45,0.4104199707508087,0.3941594660282135,0.3839664161205292,0.41546201705932617,0.17201071977615356,0.1696034073829651,0.1890299916267395,0.1819234937429428,0.19089628756046295,0.19559520483016968,0.19835981726646423,0.1794200837612152,0.19506306946277618,0.18492494523525238,0.17136023938655853,0.1721954643726349,0.19949662685394287,0.18822939693927765,0.17613114416599274,0.1719561219215393,0.19140289723873138,0.18300819396972656,0.20347177982330322,0.19029490649700165,0.1792323738336563,0.18950186669826508,0.19678404927253723,0.19099105894565582,0.19524483382701874,0.18662600219249725,0.225,0.17231760919094086,0.1830698549747467,0.20374085009098053,0.1918742060661316,0.17787423729896545,0.18220998346805573,0.18533019721508026,0.18878525495529175,0.16889126598834991,0.18028248846530914,0.17244362831115723,0.1725004017353058,0.1901637613773346,0.17883490025997162,0.194557785987854,0.1685088723897934,0.19455690681934357,0.19694574177265167,0.18277522921562195,0.18967458605766296,0.18092171847820282,0.1861332505941391,0.1823921501636505,0.19626230001449585,0.17526476085186005,0.17136044800281525,0.1963009238243103,0.19533973932266235,0.19247999787330627,0.18470264971256256,0.17499931156635284,0.161836639046669,0.18519483506679535,0.201590895652771,0.19116507470607758,0.1899484395980835,0.195627361536026,0.1830696165561676,0.1807713806629181,0.2030186653137207,0.1955154538154602,0.18255144357681274,0.18708297610282898,0.18677791953086853,0.183150514960289,0.19091597199440002,0.20138941705226898,0.17008918523788452,0.19525766372680664,0.19387413561344147,0.1914254128932953,0.2022506594657898,0.1961977779865265,0.20408955216407776,0.18499888479709625,0.18081867694854736,0.18914803862571716,0.17303600907325745,0.19298136234283447,0.17454661428928375,0.1932390183210373,0.18953002989292145,0.18030598759651184,0.1842462569475174,0.18637707829475403,0.1852351725101471,0.1978774219751358,0.19352006912231445,0.20430372655391693,0.17416946589946747,0.19877800345420837,0.18345189094543457,0.19927936792373657
Describe the physiological effects of removing screen time for 3 days.,0.754631519317627,0.7665306329727173,0.9,0.7780930995941162,0.7980191707611084,0.3509729206562042,0.36772480607032776,0.3614576756954193,0.37620314955711365,0.3843553364276886,0.378878653049469,0.3702353239059448,0.37421274185180664,0.37296727299690247,0.397673100233078,0.38161614537239075,0.36347565054893494,0.40588200092315674,0.39679521322250366,0.3897263705730438,0.45,0.3888551592826843,0.35574865341186523,0.36674144864082336,0.3697260022163391,0.18393252789974213,0.19565224647521973,0.16608966886997223,0.17449632287025452,0.17009085416793823,0.1919601559638977,0.18036775290966034,0.16536124050617218,0.18012326955795288,0.17864608764648438,0.17031723260879517,0.17601680755615234,0.17967040836811066,0.17740264534950256,0.175103098154068,0.1587321162223816,0.18950921297073364,0.15603868663311005,0.18260075151920319,0.18968811631202698,0.16176563501358032,0.18323107063770294,0.1762983649969101,0.18236714601516724,0.1827736496925354,0.18010826408863068,0.225,0.18736277520656586,0.17131978273391724,0.1784304976463318,0.18176674842834473,0.17876438796520233,0.1749005764722824,0.173843115568161,0.17945224046707153,0.15868555009365082,0.164252370595932,0.17423009872436523,0.18048018217086792,0.18368561565876007,0.17670121788978577,0.1839166134595871,0.14972005784511566,0.18313120305538177,0.1775115728378296,0.17433719336986542,0.18596428632736206,0.16987238824367523,0.1823917180299759,0.16144680976867676,0.18152102828025818,0.1712590456008911,0.16307252645492554,0.17786511778831482,0.18220068514347076,0.19380433857440948,0.17033317685127258,0.19104284048080444,0.16579335927963257,0.1772833913564682,0.20360276103019714,0.17405103147029877,0.19521483778953552,0.17570336163043976,0.17128804326057434,0.18223850429058075,0.1737310290336609,0.18431004881858826,0.17790138721466064,0.19032979011535645,0.18246887624263763,0.18247383832931519,0.17465758323669434,0.18424178659915924,0.17383483052253723,0.18061432242393494,0.17106935381889343,0.1752537190914154,0.1820572167634964,0.1902972012758255,0.1823214888572693,0.1752137392759323,0.16078093647956848,0.1802286058664322,0.18515682220458984,0.1729806661605835,0.16558754444122314,0.16442885994911194,0.19024676084518433,0.18199984729290009,0.19699113070964813,0.1843484789133072,0.17144031822681427,0.17921561002731323,0.1674526184797287,0.1762804538011551,0.16958466172218323,0.1773931235074997,0.17771486937999725,0.18653504550457
Plan a weekend retreat that involves zero electricity or devices.,0.7912631630897522,0.7830511331558228,0.9,0.795181155204773,0.8110427260398865,0.3528566360473633,0.3654390573501587,0.3643852472305298,0.4018120765686035,0.3908488154411316,0.3931518793106079,0.3764200508594513,0.37840506434440613,0.3873623311519623,0.3990519344806671,0.4108816683292389,0.38507241010665894,0.38525208830833435,0.4060102701187134,0.39969944953918457,0.45,0.40336307883262634,0.36530640721321106,0.39596906304359436,0.3870067596435547,0.17909960448741913,0.16458484530448914,0.1655786633491516,0.18833082914352417,0.18907473981380463,0.1981932818889618,0.18244588375091553,0.17083695530891418,0.19022414088249207,0.17363883554935455,0.16502179205417633,0.18788187205791473,0.19289347529411316,0.18681325018405914,0.18162813782691956,0.16932448744773865,0.19325660169124603,0.16869798302650452,0.18939746916294098,0.19328084588050842,0.16527296602725983,0.18242134153842926,0.18614208698272705,0.18477532267570496,0.18807609379291534,0.19048598408699036,0.225,0.16020894050598145,0.19323837757110596,0.1898306906223297,0.1795703023672104,0.1684638112783432,0.1848255693912506,0.17667429149150848,0.18759901821613312,0.1593782901763916,0.16954240202903748,0.1755862534046173,0.1753094345331192,0.1882687211036682,0.17808353900909424,0.19485844671726227,0.15158770978450775,0.19913256168365479,0.18486137688159943,0.19683218002319336,0.18683069944381714,0.17076663672924042,0.18341395258903503,0.17124342918395996,0.1907852441072464,0.1791350543498993,0.16572093963623047,0.18821531534194946,0.1892121434211731,0.1902856081724167,0.17012664675712585,0.1772988885641098,0.16944198310375214,0.18431934714317322,0.19057241082191467,0.18058249354362488,0.19042493402957916,0.18632955849170685,0.18759703636169434,0.19582007825374603,0.18690073490142822,0.18616090714931488,0.19373054802417755,0.19050076603889465,0.18881511688232422,0.19501225650310516,0.1745903640985489,0.20035265386104584,0.17430247366428375,0.19654203951358795,0.1787448525428772,0.16968896985054016,0.19594706594944,0.19863010942935944,0.1917196661233902,0.18743698298931122,0.16207481920719147,0.19109776616096497,0.18430572748184204,0.18215951323509216,0.18810464441776276,0.17298871278762817,0.19457770884037018,0.19428767263889313,0.17734859883785248,0.18638525903224945,0.17617103457450867,0.1851096749305725,0.1756613850593567,0.1757369190454483,0.18638305366039276,0.18571138381958008,0.1865052878856659,0.19047363102436066
Where can I find sustainable alternatives to Shein that are actually affordable?,0.7998974323272705,0.7803797721862793,0.9,0.8023830652236938,0.7957544326782227,0.3948838710784912,0.3574221134185791,0.39128848910331726,0.37891390919685364,0.35946813225746155,0.3791346848011017,0.3941214680671692,0.38248711824417114,0.36750414967536926,0.37009721994400024,0.3830890357494354,0.3918898403644562,0.37516161799430847,0.3819030225276947,0.38711872696876526,0.45,0.39719825983047485,0.3957916498184204,0.37336528301239014,0.39449289441108704,0.1613493710756302,0.15361317992210388,0.1897510439157486,0.17680978775024414,0.17647816240787506,0.17871245741844177,0.19548244774341583,0.19396091997623444,0.17812390625476837,0.19276772439479828,0.1604584902524948,0.17757152020931244,0.18467804789543152,0.18427923321723938,0.1663990318775177,0.16707757115364075,0.18233992159366608,0.1802690476179123,0.18557055294513702,0.18208545446395874,0.1818763166666031,0.17929798364639282,0.16629554331302643,0.17329828441143036,0.18723143637180328,0.17266099154949188,0.19516979157924652,0.1617443561553955,0.18181127309799194,0.1907956749200821,0.225,0.17601078748703003,0.17759205400943756,0.19276511669158936,0.18278734385967255,0.1826232373714447,0.1839481145143509,0.18428903818130493,0.16550807654857635,0.17385712265968323,0.17979730665683746,0.18626415729522705,0.17633336782455444,0.19167760014533997,0.18878144025802612,0.1833818554878235,0.18682202696800232,0.18444466590881348,0.17999303340911865,0.1801581233739853,0.19485649466514587,0.17472724616527557,0.1747436374425888,0.1898754984140396,0.1882096827030182,0.17201510071754456,0.17835426330566406,0.17279693484306335,0.1805185079574585,0.18085350096225739,0.19652551412582397,0.18671050667762756,0.19141052663326263,0.18954379856586456,0.17404517531394958,0.1796512007713318,0.1697404831647873,0.1801658719778061,0.17473627626895905,0.17360040545463562,0.1794818937778473,0.17708542943000793,0.17670750617980957,0.1918007731437683,0.1568477749824524,0.1888904869556427,0.1973446011543274,0.1934768557548523,0.18360641598701477,0.17101067304611206,0.17287465929985046,0.1968480795621872,0.18834373354911804,0.1764107644557953,0.16737540066242218,0.18230389058589935,0.17587746679782867,0.18811826407909393,0.17575424909591675,0.168703094124794,0.18385134637355804,0.16919057071208954,0.17758481204509735,0.188604936003685,0.18334345519542694,0.19464896619319916,0.17744840681552887,0.1815488338470459,0.17344602942466736,0.18077917397022247
List top 5 ethical clothing brands for mens office wear.,0.7584856748580933,0.7210386991500854,0.9,0.7438297271728516,0.7676091194152832,0.3359192907810211,0.3480084538459778,0.37731248140335083,0.35767701268196106,0.3495783507823944,0.35741642117500305,0.3598562479019165,0.3674587309360504,0.3522372543811798,0.3720066249370575,0.37883779406547546,0.3450859785079956,0.365688681602478,0.37186846137046814,0.37193262577056885,0.45,0.38766810297966003,0.347272664308548,0.37448108196258545,0.3745286762714386,0.16289158165454865,0.16392740607261658,0.15916532278060913,0.17054609954357147,0.1659933626651764,0.17605704069137573,0.1829235851764679,0.17454662919044495,0.17214632034301758,0.18173803389072418,0.1630222350358963,0.1721716672182083,0.17199842631816864,0.16404250264167786,0.17587052285671234,0.17263713479042053,0.18244409561157227,0.15239489078521729,0.18664583563804626,0.18743665516376495,0.16236445307731628,0.16686885058879852,0.16828997433185577,0.1647828370332718,0.17085948586463928,0.16709275543689728,0.1808229386806488,0.16049358248710632,0.1794530600309372,0.16229087114334106,0.225,0.16538378596305847,0.17296954989433289,0.1647556871175766,0.18228590488433838,0.15793289244174957,0.1707141250371933,0.19216305017471313,0.1646052896976471,0.17075884342193604,0.18170928955078125,0.16653089225292206,0.15506519377231598,0.17834380269050598,0.17353284358978271,0.17525729537010193,0.18262286484241486,0.16637663543224335,0.17088697850704193,0.16136294603347778,0.1894000768661499,0.17226362228393555,0.16785088181495667,0.16587017476558685,0.1770021915435791,0.17513474822044373,0.16215625405311584,0.1735731065273285,0.16865010559558868,0.17096461355686188,0.18330737948417664,0.16931679844856262,0.1863471120595932,0.18815433979034424,0.16743475198745728,0.17378810048103333,0.16489656269550323,0.17463673651218414,0.16548018157482147,0.17158348858356476,0.17488250136375427,0.16849671304225922,0.1637692153453827,0.180837944149971,0.1585415005683899,0.18886245787143707,0.16010084748268127,0.16464515030384064,0.18429118394851685,0.17317546904087067,0.17124934494495392,0.16231386363506317,0.1515406370162964,0.192585751414299,0.16762039065361023,0.16462530195713043,0.17842692136764526,0.17245037853717804,0.17535260319709778,0.17608746886253357,0.17943242192268372,0.16331084072589874,0.17441241443157196,0.17510107159614563,0.15885160863399506,0.1690334677696228,0.16620057821273804,0.16952191293239594,0.17747929692268372,0.1755916178226471
How do I verify if a brand's 'green' claims are just greenwashing?,0.8289124965667725,0.7750621438026428,0.9,0.810863196849823,0.8307367563247681,0.40208524465560913,0.369652658700943,0.3944036662578583,0.3773675560951233,0.35347771644592285,0.397461473941803,0.3982580006122589,0.3784312903881073,0.3940162658691406,0.38392212986946106,0.37870168685913086,0.4145667850971222,0.3751347064971924,0.3841598927974701,0.38451558351516724,0.45,0.40890705585479736,0.3968340754508972,0.3899819850921631,0.42365607619285583,0.16024282574653625,0.16078899800777435,0.18728511035442352,0.17144736647605896,0.18285106122493744,0.17930661141872406,0.20807400345802307,0.1922769844532013,0.180298313498497,0.1995144784450531,0.16684143245220184,0.17372405529022217,0.19155868887901306,0.18391287326812744,0.17696598172187805,0.16697917878627777,0.18852882087230682,0.1987929493188858,0.196681410074234,0.19725684821605682,0.18180400133132935,0.18626506626605988,0.17494890093803406,0.18221023678779602,0.1917264461517334,0.18480107188224792,0.19465160369873047,0.16292798519134521,0.17486825585365295,0.1950884461402893,0.225,0.17379364371299744,0.17091991007328033,0.19160786271095276,0.1778712421655655,0.1832364946603775,0.18266791105270386,0.18616287410259247,0.17750780284404755,0.17748330533504486,0.18592900037765503,0.1807933747768402,0.17044785618782043,0.17908811569213867,0.1964615136384964,0.18635466694831848,0.19793987274169922,0.19626754522323608,0.18302813172340393,0.1835806965827942,0.19209735095500946,0.1851314753293991,0.1783154457807541,0.1899353414773941,0.19065538048744202,0.17566654086112976,0.17896874248981476,0.17822660505771637,0.1751570701599121,0.19578160345554352,0.19070398807525635,0.1892574280500412,0.18128050863742828,0.19841575622558594,0.18959356844425201,0.17349044978618622,0.18138854205608368,0.19538472592830658,0.17052192986011505,0.17828892171382904,0.18807139992713928,0.17315664887428284,0.18929560482501984,0.18803592026233673,0.14956550300121307,0.19738128781318665,0.2005639523267746,0.1958436518907547,0.18238529562950134,0.17451904714107513,0.18859003484249115,0.1940293163061142,0.19066035747528076,0.17384955286979675,0.16624809801578522,0.19258412718772888,0.16892899572849274,0.21274524927139282,0.16919340193271637,0.17511619627475739,0.18074668943881989,0.16774514317512512,0.1787467747926712,0.20275168120861053,0.19147782027721405,0.19859446585178375,0.18942704796791077,0.18994413316249847,0.17547842860221863,0.1958630532026291
Find me a supplier for organic hemp fabric in Europe.,0.7559435963630676,0.7811275720596313,0.9,0.7792451977729797,0.7850664258003235,0.35141199827194214,0.35550251603126526,0.35856249928474426,0.3720478415489197,0.3867981433868408,0.3669195771217346,0.37792474031448364,0.3727860450744629,0.3668801784515381,0.3714059293270111,0.39552757143974304,0.36076515913009644,0.37896767258644104,0.37375080585479736,0.40202176570892334,0.45,0.3816498816013336,0.3676728308200836,0.3745216131210327,0.38564541935920715,0.1821167916059494,0.1597539782524109,0.17026548087596893,0.17643232643604279,0.1702597588300705,0.1776653677225113,0.18329428136348724,0.17253200709819794,0.1805141270160675,0.16838476061820984,0.16459310054779053,0.19084042310714722,0.18410822749137878,0.17947471141815186,0.17108072340488434,0.16500979661941528,0.17220976948738098,0.1653454452753067,0.18329139053821564,0.18046627938747406,0.16607871651649475,0.17660824954509735,0.18000443279743195,0.16380411386489868,0.17324471473693848,0.16739043593406677,0.17903538048267365,0.16383808851242065,0.18815958499908447,0.174461230635643,0.225,0.16474266350269318,0.17380252480506897,0.17565278708934784,0.19138096272945404,0.15515512228012085,0.17346607148647308,0.1773534119129181,0.16341657936573029,0.17150622606277466,0.1703004390001297,0.1846720278263092,0.1680782288312912,0.19345439970493317,0.17568644881248474,0.1841949224472046,0.1838906705379486,0.17241372168064117,0.17522189021110535,0.17702758312225342,0.19116099178791046,0.17111223936080933,0.17177310585975647,0.180380180478096,0.18994589149951935,0.17571061849594116,0.17657509446144104,0.1850244253873825,0.16520091891288757,0.17806997895240784,0.1838863343000412,0.17541930079460144,0.18639923632144928,0.19042491912841797,0.17715391516685486,0.18518266081809998,0.17182709276676178,0.17544689774513245,0.17767541110515594,0.16573813557624817,0.17729900777339935,0.18984460830688477,0.17297722399234772,0.18223492801189423,0.17133492231369019,0.18150098621845245,0.16847383975982666,0.16983897984027863,0.18235023319721222,0.17306824028491974,0.1789388209581375,0.1795632243156433,0.16420219838619232,0.19436471164226532,0.18642331659793854,0.1765432208776474,0.18190795183181763,0.17946046590805054,0.17910021543502808,0.1746654361486435,0.18051999807357788,0.1773443967103958,0.17806266248226166,0.18366310000419617,0.17368565499782562,0.17649145424365997,0.16862952709197998,0.17741824686527252,0.18997354805469513,0.17888353765010834
What are the environmental impacts of viscose vs polyester?,0.7222862243652344,0.7396689653396606,0.9,0.7261899709701538,0.7334645986557007,0.36700713634490967,0.3262885510921478,0.3570079207420349,0.3318929076194763,0.36259835958480835,0.33618754148483276,0.3507436215877533,0.35105225443840027,0.32861432433128357,0.35117074847221375,0.3561190068721771,0.3623179495334625,0.3760375678539276,0.34561246633529663,0.3547281324863434,0.45,0.34967100620269775,0.3520345389842987,0.32460612058639526,0.3594222664833069,0.17377832531929016,0.17478229105472565,0.16714362800121307,0.15387028455734253,0.1554546058177948,0.1548002064228058,0.18234723806381226,0.1658783257007599,0.1690986156463623,0.17306344211101532,0.15171809494495392,0.15744972229003906,0.15645256638526917,0.18029674887657166,0.15649168193340302,0.1588367372751236,0.1615597903728485,0.16377130150794983,0.16792182624340057,0.16335460543632507,0.15921343863010406,0.16466236114501953,0.16362670063972473,0.15642671287059784,0.17010508477687836,0.15599648654460907,0.1741471290588379,0.1822461485862732,0.17070506513118744,0.1737145036458969,0.225,0.15989956259727478,0.1467558592557907,0.16843220591545105,0.16992153227329254,0.1695915162563324,0.16446222364902496,0.17367571592330933,0.1535935252904892,0.1587660312652588,0.1698993742465973,0.1673664003610611,0.16397705674171448,0.1655847579240799,0.16469146311283112,0.1543550044298172,0.17968498170375824,0.1676027774810791,0.1566535383462906,0.16901302337646484,0.1624101847410202,0.15008412301540375,0.162591814994812,0.17092399299144745,0.1708078682422638,0.15261273086071014,0.16805411875247955,0.16595347225666046,0.16747094690799713,0.1583988070487976,0.18184971809387207,0.1638193130493164,0.17791299521923065,0.1685202717781067,0.15599371492862701,0.15603116154670715,0.1562814861536026,0.17159639298915863,0.15315218269824982,0.15552601218223572,0.1612921953201294,0.1670266091823578,0.15842269361019135,0.1635103076696396,0.15656492114067078,0.160852313041687,0.17517855763435364,0.1796305626630783,0.1653786450624466,0.1617467999458313,0.1516074687242508,0.15750721096992493,0.1732499897480011,0.16175147891044617,0.17516346275806427,0.17055077850818634,0.14062413573265076,0.17198070883750916,0.1570262461900711,0.15565825998783112,0.1879512369632721,0.16249890625476837,0.16067691147327423,0.17185990512371063,0.17558445036411285,0.17773446440696716,0.17178675532341003,0.1612110435962677,0.17257630825042725,0.1608131378889084
